title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,book_id,library_id
Naked Lunch,William S. Burroughs/James Grauerholz/Barry Miles,3.46,0802140181,9780802140180,eng,289,65998,2497,1/26/2004,Grove Press,027437,2
Embroideries,Marjane Satrapi/Anjali Singh,3.86,0375714677,9780375714672,eng,144,14654,1121,4/18/2006,Pantheon,029526,2
Laurell K. Hamilton's Anita Blake  Vampire Hunter: Guilty Pleasures vol 1,Laurell K. Hamilton/Stacie Ritchie/Jessica Ruffner/Brett Booth,4.17,0785127232,9780785127239,eng,168,7302,250,7/18/2007,Marvel,0230288,2
Moonage Daydream: The Life & Times of Ziggy Stardust,David Bowie/Mick Rock,4.3,0789313502,9780789313508,eng,320,450,17,9/20/2005,Universe,0217056,2
Holy Cow: An Indian Adventure,Sarah Macdonald,3.53,0767915747,9780767915748,eng,304,15315,1101,4/13/2004,Broadway Books,023858,2
Walden & Resistance to Civil Government (Critical Edition),Owen  Thomas/William John Rossi/Henry David Thoreau/William Rossi,3.95,0393959058,9780393959055,eng,482,233,23,8/19/1992,W.W. Norton & Company,0216894,2
Teaching with the Brain in Mind,Eric Jensen,4.11,1416600302,9781416600305,eng,186,592,49,6/15/2005,Association for Supervision & Curriculum Development,023280,2
Enchantment: The Life of Audrey Hepburn,Donald Spoto,3.87,0307237583,9780739474792,eng,352,2703,267,4/2/2007,Harmony,0213121,2
A Long Short War: The Postponed Liberation of Iraq,Christopher Hitchens,3.75,0452284988,9780452284982,en-US,112,371,24,6/3/2003,Plume,0243378,2
Situationist International Anthology: Revised and Expanded Edition,Ken Knabb,4.26,0939682044,9780939682041,eng,532,678,11,3/1/2007,Bureau of Public Secrets,0228061,2
The Coming of Age,Simone de Beauvoir/Patrick O'Brian,3.88,039331443X,9780393314434,en-GB,592,227,14,6/17/1996,W. W. Norton  Company,0221122,2
Tales of Power,Carlos Castañeda,4.13,0671732528,9780671732523,en-US,304,4657,89,1/1/1991,Washington Square Press,0212845,2
The Canterbury Tales,Geoffrey Chaucer/Nevill Coghill,3.49,0140424385,9780140424386,eng,504,168559,2365,1/30/2003,Penguin Classics,022696,2
Virgin,James Patterson,3.86,0070488207,9780070488205,eng,210,307,28,1/1/1980,McGraw-Hill Companies,0233671,2
Kushiel's Scion (Imriel's Trilogy  #1),Jacqueline Carey,4.2,044650002X,9780446500029,en-US,753,454,37,6/12/2006,Warner Books (NY),0240214,2
Shakespeare's Landlord (Lily Bard  #1),Charlaine Harris,3.76,0425206866,9780425206867,eng,216,22721,1111,11/1/2005,Berkley,0245020,2
The Complete Works: The Revised Oxford Translation  Vol. 1,Aristotle/Jonathan Barnes,4.43,0691099502,9780691099507,eng,1757,2318,17,9/1/1984,Bollingen/Princeton University Press (NJ),0219082,2
The Last Boleyn,Karen Harper,4.05,0307237907,9780307237903,eng,592,9097,205,2/28/2006,Broadway Books,0231087,2
The Titan's Curse (Percy Jackson and the Olympians  #3),Rick Riordan,4.35,1423101456,9781423101451,eng,312,5521,773,5/5/2007,Miramax Books,0228185,2
Od Magic,Patricia A. McKillip,3.98,0441013341,9780441013340,eng,315,3140,265,6/6/2006,Ace Books,0219823,2
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,9780345538376,eng,1728,101233,1550,9/25/2012,Ballantine Books,0230,2
Please Kill Me: The Uncensored Oral History of Punk,Legs McNeil/Gillian McCain,4.16,0802142648,9780802142641,eng,452,25094,937,4/13/2006,Grove Press,0214595,2
Mirror Mirror,Gregory Maguire,3.28,0060988657,9780060988654,eng,280,28014,1512,10/1/2004,Regan Books,0215858,2
Laura's Album: A Remembrance Scrapbook of Laura Ingalls Wilder,William   Anderson/Laura Ingalls Wilder,4.3,0060278420,9780060278427,eng,80,746,48,10/13/1998,HarperCollins,028196,2
Sliding Scales (Pip & Flinx #10),Alan Dean Foster,3.88,0345461584,9780345461582,eng,257,1167,28,9/27/2005,Del Rey Books,0235115,2
Incantation,Alice Hoffman,3.88,0316010197,9780316010191,eng,166,5653,800,10/1/2006,Little  Brown Books for Young Readers,0222893,2
The Shattered Land (Eberron: The Dreaming Dark  #2),Keith Baker,3.65,0786938218,9780786938216,eng,374,515,21,2/7/2006,Wizards of the Coast,0234678,2
Sula,Toni Morrison,3.93,0452283868,9780452283862,eng,174,47998,2479,4/5/2002,Plume Books,0211346,2
The Time Travelers: Volume One,Caroline B. Cooney,3.94,0553494805,9780553494808,en-US,420,302,29,1/10/2006,Laurel Leaf,0221191,2
Henry V,William Shakespeare/Stephen Orgel/A.R. Braunmuller/Claire McEachern,3.88,0140714588,9780140714586,eng,121,433,39,9/1/1999,Penguin Classics,0243180,2
Lolita: The Screenplay,Vladimir Nabokov,3.87,0679772553,9780679772552,eng,240,281,18,8/26/1997,Vintage,0232579,2
Men Who Hate Women and the Women Who Love Them: When Loving Hurts and You Don't Know Why,Susan Forward/Joan Torres,4.09,0553381415,9780553381412,eng,304,1570,64,1/2/2002,Bantam,029787,2
The Wheel of Time: The Shamans of Mexico Their Thoughts About Life Death & the Universe,Carlos Castañeda,4.03,074341280X,9780743412803,eng,304,956,37,1/1/2001,Washington Square Press,0212843,2
Pygmalion,George Bernard Shaw,3.9,0486282228,9780486282220,eng,82,76944,1636,10/20/1994,Dover Publications,027714,2
The Wheel of Life: A Memoir of Living and Dying,Elisabeth Kübler-Ross,4.16,0684846314,9780684846316,eng,288,1080,112,6/19/1998,Scribner,0233938,2
Journey,James A. Michener,3.81,0449218473,9780449218471,eng,336,1597,133,10/1/1994,Fawcett,0229471,2
23 Days in July: Inside the Tour de France and Lance Armstrong's Record-Breaking Victory,John Wilcockson/Graham   Watson,3.67,0306814552,9780306814556,eng,344,360,26,6/15/2005,Da Capo Press,022267,2
Dunk,David Lubar,3.8,0618439099,9780618439096,eng,272,911,118,6/7/2004,HMH Books for Young Readers,0237241,2
The Truth of the Matter,Robb Forman Dew,3.09,0316013307,9780316013307,eng,352,194,40,11/3/2006,Back Bay Books,0237491,2
