bookID,title,authors,isbn13,language_code,  num_pages,publication_date,publisher,in_stock,copyID,uID
9438,The Basic Works of Aristotle,Aristotle/Richard Peter McKeon/C.D.C. Reeve,9780375757990,eng,1487,8/19/2009,Modern Library/Random House (NY),2,0,b9438c0
9438,The Basic Works of Aristotle,Aristotle/Richard Peter McKeon/C.D.C. Reeve,9780375757990,eng,1487,8/19/2009,Modern Library/Random House (NY),2,1,b9438c1
29621,Midnight Jewels,Jayne Ann Krentz,9780446692472,eng,425,7/1/2003,Warner Books,2,0,b29621c0
29621,Midnight Jewels,Jayne Ann Krentz,9780446692472,eng,425,7/1/2003,Warner Books,2,1,b29621c1
23940,Junky,William S. Burroughs/Oliver  Harris/Allen Ginsberg,9780142003169,eng,208,4/1/2003,Penguin,3,0,b23940c0
23940,Junky,William S. Burroughs/Oliver  Harris/Allen Ginsberg,9780142003169,eng,208,4/1/2003,Penguin,3,1,b23940c1
23940,Junky,William S. Burroughs/Oliver  Harris/Allen Ginsberg,9780142003169,eng,208,4/1/2003,Penguin,3,2,b23940c2
14485,Directing the Documentary,Michael Rabiger,9780240806082,en-US,648,3/30/2004,Focal Press,1,0,b14485c0
21032,Existential Psychotherapy,Irvin D. Yalom,9780465021475,en-US,544,12/8/1980,Basic Books,2,0,b21032c0
21032,Existential Psychotherapy,Irvin D. Yalom,9780465021475,en-US,544,12/8/1980,Basic Books,2,1,b21032c1
36639,A Small Pinch of Weather,Joan Aiken,9780006754893,eng,239,1/1/2000,HarperCollins Publishers,1,0,b36639c0
10890,Traveling Mercies: Some Thoughts on Faith,Anne Lamott,9780385496094,eng,275,2/15/2000,Anchor,3,0,b10890c0
10890,Traveling Mercies: Some Thoughts on Faith,Anne Lamott,9780385496094,eng,275,2/15/2000,Anchor,3,1,b10890c1
10890,Traveling Mercies: Some Thoughts on Faith,Anne Lamott,9780385496094,eng,275,2/15/2000,Anchor,3,2,b10890c2
